close,trade,change,30m_RSI,15m_RSI,26m_EMA %,12m_EMA %,MACD,20m_BB Upper %,20m_BB Lower %
46620.0,Sell,0.3141541499644518,67.59820705929698,69.37597524840336,-0.14252878024264992,-0.15892259857156865,7.642798104941903,-0.06588122917316032,-0.33479846838153726
46761.0,Sell,0.6240451242774725,66.92217746905175,71.6566405599755,-0.423049092378609,-0.3847591150795808,-17.904776284798572,-0.1680908934069323,-0.7228258160304193
46949.0,Sell,0.9200146421790123,68.07248969069913,75.99304633399731,-0.6566829189328262,-0.5458275452956216,-52.04548936893116,-0.27398527456946303,-1.1019758747627912
46838.0,Sell,0.5776375066488981,58.66054446243877,62.27565750003549,-0.35502567687103515,-0.32526481453610445,-13.939392700434837,0.12431876696755972,-0.6685316656822785
46920.0,Sell,1.3215859420597553,61.581735439836834,66.60218282406595,-0.34770130651126785,-0.2150943356664651,-62.21919072038145,-0.02947499176831908,-0.5777254291609222
47280.0,Sell,1.7627688124775887,67.65957537207348,76.39436326400526,-0.7850875656803218,-0.4425110311219973,-161.97018553917587,0.3245940749011871,-2.117106765256517
46542.0,Sell,-0.2614435041323304,47.07081048955173,50.19507554790078,-0.025775790376506246,-0.09028437422219898,30.023585093462316,0.12127745674542785,-0.3872670467931267
46578.0,Sell,0.35982849076390266,49.972113932607826,54.95692470033817,-0.14866356804292277,-0.1678643371512698,8.943334235285874,0.028425694392378444,-0.4193861531926704
46616.0,Sell,0.3724996233358979,52.98186791218113,58.29284513899781,-0.20164369157472994,-0.17256702973463253,-13.554376683379814,-0.03450417244477319,-0.4168396526367439
46358.0,Sell,0.5967493634670973,48.2525718518368,51.397805442237136,-0.07041598096197911,-0.16039934361994274,41.714487260978785,0.4461042823101932,-0.7370970721199348
45981.0,Sell,2.911817282438278,54.84375674021207,63.58657582891206,-0.9600542162980196,-0.720577084617966,-110.11397991780541,0.6635538670609192,-3.456657268465847
45858.0,Sell,0.875494908541441,54.27748800331005,60.32056813722328,-0.3468698494422093,-0.2480325105330543,-45.32482687696029,0.035564677652600823,-0.8286719326571802
45969.0,Sell,0.9220839478075504,56.665905669541395,62.536725733254386,-0.5953268267501086,-0.4993640389013708,-44.11313394618628,-0.11620107765814326,-1.2142641543460335
45385.0,Sell,0.7436181884258986,48.46723022149917,52.49147820208196,-0.15226156031268173,-0.2795633622977641,57.77592283092963,0.09244082716575892,-0.8301226052862833
45162.0,Sell,1.3532619923353195,50.51007095753798,57.932557263487546,-0.4394987008307031,-0.5529258355953497,51.22596260240971,-0.023124150519068853,-1.2159741234723398
44355.0,Sell,1.1931922286748886,46.681648486557464,53.56800655142093,-0.1963942179035343,-0.26319052053336994,29.62750003146357,0.2559481859341534,-1.2247298903643191
44734.0,Sell,1.8580080941319466,55.44740307595473,61.225080337605334,-0.5137001660632549,-0.26583121295846135,-110.8816974818983,0.4331808328553924,-1.4020153602841938
44714.0,Sell,0.5984521470963955,54.08182105118924,57.06848802153201,-0.3116470686052916,-0.22787114479089549,-37.45956657436909,0.1449444023426143,-0.5369846470087144
44855.0,Sell,0.8022832684218884,57.088899445064946,63.40720038499206,-0.4901621093110303,-0.35912491656782064,-58.77673280496674,-0.040771634054348735,-0.9979050742278941
44700.0,Sell,0.4697579424828291,52.63560869010877,54.232580389784154,-0.16140709667747788,-0.15657111789646205,-2.16168251511408,0.25169891425693863,-0.5118708941227105
45144.0,Sell,0.42042043060064316,61.386756593641394,67.37528859206981,-0.3043614367778985,-0.18315124201164684,-54.71913032527664,-0.002031564585773442,-0.525620227457466
45189.0,Sell,0.7356383372098207,59.9443885128586,64.44246215009797,-0.2723599649342591,-0.17224025306873933,-45.24309659490973,0.11983276872335842,-0.671301323017545
45205.0,Sell,0.679287314414978,56.85024213965132,60.745428153489286,-0.3839328477521632,-0.33459084351754914,-22.305053014257282,-0.08514279404673847,-0.7466236034756595
45216.0,Sell,1.5131785534322262,59.19501028704647,65.03497019537913,-0.2906775305364271,-0.11293062181236325,-80.37004224867269,0.18573266263558183,-0.5097330164926236
44709.0,Sell,-0.32993736676871777,45.703327871401676,50.259352137137874,-0.03369256725856335,-0.1448947737753906,49.71739451160829,0.07032884034093213,-0.35573348481967243
44583.0,Sell,0.40085576474666595,45.64885977451497,49.56366678321143,-0.011280217788604763,-0.10242411248117333,40.634682570787845,0.27461552383028914,-0.40358845073067723
45215.0,Sell,0.6679282989352942,60.92206266096494,64.51599051179056,-0.16279701941694166,-0.09011402704912767,-32.863614999107085,-0.013655772531347624,-0.2210043236756633
45204.0,Sell,0.3908678889274597,57.138708496537845,58.40114214386247,-0.12664583369721422,-0.08921624753807816,-16.919670127375866,0.07637865447795515,-0.3243690148442944
45160.0,Sell,0.3689380828291178,53.49102669853346,53.81990051305172,-0.07396251440951146,-0.08236674901539572,3.7953523480173317,0.16462168934284002,-0.27068554563159114
45304.0,Sell,0.6129519548267126,60.05531535287744,67.56095788539386,-0.31480280224821144,-0.24007105428449424,-33.85647109748243,-0.045627497666803706,-0.6362073016886616
44978.0,Sell,1.1309724301099777,55.66623592624786,66.11513939173877,-0.4033118235420764,-0.26775362338663883,-60.971367265912704,0.12813291456812914,-1.1319570063463318
44360.0,Sell,0.5166319198906422,42.652618821913265,46.26486678443442,0.06859499539904768,-0.13502499212552768,90.32582646590163,0.5290674840791253,-0.8981006783983319
44369.0,Sell,0.7150315679609776,46.901928179141876,52.223015104717255,-0.12200233860028759,-0.23802058964700057,51.476137806916086,0.1373555135844072,-0.5894765045916419
